frame_timecode,frame_id,figure_index,fig_box_min_x,fig_box_min_y,fig_box_max_x,fig_box_max_y,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y
188.104583333,4510,1,674.02734,193.15314,1219.7744,1034.242,994.37885,315.52057,1001.3756,281.55737,1066.3455,282.55627,1035.3599,296.54114,1124.3186,299.53787,1149.3071,392.43726,995.3784,377.45346,1169.2979,528.29004,918.41406,430.39612,1202.2825,447.37772,890.42706,450.37448,1064.3464,646.16235,977.3867,617.1937,1084.3372,835.9567,905.4201,750.0498,1059.3488,1005.77277,740.4965,927.8572
188.146291667,4511,1,751.6385,192.1047,1238.2542,1067.0416,1090.8706,348.5934,1113.8524,330.59473,1073.8839,327.59494,1124.8438,323.5952,1037.9124,291.59753,1132.8374,395.59003,995.9455,378.59125,1219.7687,441.5867,918.0071,454.5858,1108.8563,455.5857,934.99365,441.5867,1071.8855,680.56946,969.96606,661.57086,1074.8832,948.5502,874.0418,834.55835,1050.9021,1046.5431,794.1049,860.5565
188.188,4512,1,794.9259,243.50253,1242.3513,1061.7177,1081.0585,334.91486,1106.0264,327.92154,1077.0636,318.93018,1145.9751,344.90524,1162.9532,346.90335,1118.011,432.82092,1052.0956,400.8516,1227.8699,459.79504,986.1803,501.7548,1129.9956,422.8305,1035.1174,436.81708,1073.0687,735.5305,985.1816,682.5813,1075.0662,978.29767,1073.0687,983.29285,1059.0867,1046.2324,1064.0802,1027.2507
188.229708333,4513,1,814.305,274.64865,1268.7719,1076.643,1163.3955,437.1475,1171.3861,414.14764,1148.4131,405.1477,1191.3627,421.1476,1098.4717,385.14786,1236.3099,482.14716,1008.5771,461.1473,1231.3158,586.1464,995.59235,596.14636,1244.3005,603.1463,1146.4154,518.1469,1065.5103,772.1451,961.63214,760.1452,1075.4985,1005.14343,912.6896,1006.14343,864.7458,865.1444,917.6837,1010.1434
188.271416667,4514,1,879.42487,297.1149,1275.9403,1074.7998,1184.552,477.5418,1197.5361,464.54706,1189.5459,450.55273,1142.6033,419.56528,1146.5984,421.56448,1127.6216,500.5325,1004.77167,464.54706,1223.5044,608.4888,1040.7278,546.51385,1247.4751,604.49036,1192.5422,559.5086,1063.6997,766.42474,964.8205,768.42395,1077.6826,1003.3288,913.88275,1018.32275,1056.7083,1072.3009,918.87665,1023.3207
188.313125,4515,1,880.9727,314.98038,1325.3011,1079.0,1207.9785,491.25418,1221.9574,468.28366,1205.9814,466.28622,1153.0615,426.3375,1157.0554,434.32724,1128.0992,497.2465,1015.2697,489.25674,1168.0388,561.1645,1053.2124,632.0735,1248.9166,605.1081,1189.0072,707.97614,1058.2048,768.89795,971.3361,777.8864,1077.1761,998.6032,983.31805,1014.5827,1058.2048,1076.5032,998.2954,1076.5032
188.354833333,4516,1,890.16907,317.3056,1335.2826,1079.0,1217.0181,504.7304,1230.9902,483.73883,1216.0201,478.7408,1154.1433,438.75687,1158.1354,439.75647,1134.1831,512.7272,1027.3958,507.7292,1184.0837,627.6811,1034.3818,712.647,1263.9247,712.647,1100.2506,833.59845,1056.3381,750.6317,968.51306,769.6241,1098.2546,1025.5215,1082.2865,1024.5219,1048.354,1036.517,1056.3381,1036.517
188.396541667,4517,1,890.2553,320.3475,1317.2828,1079.0,1233.9725,514.7584,1246.943,494.7676,1232.9749,484.7722,1166.1271,444.7905,1171.1157,447.78912,1140.1862,532.7502,1036.4225,520.7557,1172.1134,662.6907,974.5633,696.6751,1233.9725,802.6266,994.5179,875.59314,1045.402,765.6435,960.59515,756.64764,1065.3566,1024.5249,1005.49286,899.58215,963.5883,987.5419,960.59515,1061.5079
188.43825,4518,1,829.2647,299.89578,1323.2626,1063.817,1253.7628,513.3738,1267.7628,491.37604,1251.7628,478.37738,1174.7632,436.3817,1182.7632,438.3815,1152.7633,550.37,1047.7638,516.3735,1147.7633,685.3561,918.76434,691.3554,1164.7633,818.34235,906.76434,861.3379,1032.7638,791.34515,962.7641,792.34503,1172.7632,941.32965,1163.7633,941.32965,1104.7635,1061.3173,896.7644,886.3353
188.479958333,4519,1,778.00244,296.70267,1366.8816,1079.0,1273.4008,491.02814,1293.3967,471.04608,1273.4008,459.05685,1187.4185,410.10083,1207.4143,420.09186,1144.4272,520.00214,1070.4424,492.02722,1099.4365,646.8881,895.47833,644.88995,1079.4406,744.80023,841.48944,813.7383,996.45764,775.7724,936.4699,786.7625,1059.4447,1019.5534,1166.4227,982.5866,1050.4465,1038.5364,831.49146,831.7221
188.521666667,4520,1,717.82996,271.76495,1378.1512,1015.3442,1288.7432,468.1538,1308.7227,443.16797,1292.739,430.1753,1212.8212,367.21094,1217.816,373.20755,1151.8838,472.15155,1083.9536,444.1674,1072.965,696.02484,884.159,591.0842,798.2473,778.9779,801.2442,764.98584,1012.0276,761.98755,968.07275,778.9779,990.0502,977.86536,1081.9557,993.8563,989.05115,976.8659,798.2473,778.9779
188.563375,4521,1,642.09595,229.74036,1396.7375,1079.0,1292.2871,428.06747,1314.2767,414.07965,1300.2833,393.09796,1211.3256,334.14932,1222.3204,337.14673,1167.3466,443.05438,1094.3811,428.06747,1088.384,670.85583,885.48035,548.9621,708.5644,579.93506,792.52454,728.8053,1021.4158,783.7574,964.4429,786.75476,1117.3702,1059.517,1099.3788,1056.5197,732.553,579.93506,780.5302,743.79224
188.605083333,4522,1,672.37604,198.30225,1353.5188,1077.531,1304.081,401.6239,1319.0621,382.64053,1300.086,364.6563,1218.1891,309.70453,1228.1765,319.69577,1161.2607,514.52484,1099.3387,404.62128,1087.3538,673.3855,858.6416,527.5135,781.7384,718.34607,782.7371,716.34784,1042.4104,808.2672,966.50586,781.29083,1162.2595,1048.0569,1025.4318,1057.049,1024.433,1075.0332,782.7371,717.3469
188.646791667,4523,1,665.2501,156.00378,1384.599,1079.0,1295.1799,369.5029,1318.1592,340.50302,1294.1809,328.50308,1203.2632,280.50327,1206.2604,284.50327,1166.2966,465.5025,1090.3654,377.50287,1089.3662,662.5017,833.5977,489.5024,1082.3726,701.5015,755.6683,716.50146,1030.4196,791.50116,985.46027,798.50116,1141.3192,1056.5001,1130.3291,1056.5001,1070.3834,1076.5,754.6692,719.50146
188.6885,4524,1,730.19495,161.69608,1373.381,1073.5695,1271.0105,340.1713,1292.9828,317.1745,1271.0105,299.177,1178.128,246.18434,1190.1129,245.18448,1132.1863,358.1688,1063.2734,355.16922,1073.2607,654.1277,811.5919,435.1581,802.60333,639.12976,791.6172,648.12854,1009.3417,765.1123,986.3707,763.11255,932.439,813.10565,1131.1875,1050.0728,1129.1901,1071.0698,787.62225,662.1266
188.730208333,4525,1,742.9447,106.625946,1332.7289,1079.0,1251.2587,299.0021,1277.2491,282.01303,1244.2612,263.02527,1154.2942,216.0555,1156.2935,218.05421,1106.3118,362.9609,1047.3334,326.98407,1059.329,624.79236,816.41785,399.9371,1080.3213,488.87985,822.41565,589.8149,1000.3505,728.72546,974.36005,737.71967,1067.326,1049.5189,1225.2682,1005.54724,1057.3297,1076.5016,1070.325,1076.5016
188.771916667,4526,1,771.2019,82.4404,1360.9124,1079.0,1235.4739,279.85315,1255.4641,259.862,1232.4755,243.86906,1136.5226,201.88762,1139.521,203.88673,1088.546,329.8311,1029.5751,298.84476,1054.5627,563.7277,843.6663,419.79132,1238.4724,615.7047,823.67615,657.68616,981.5986,707.6641,983.5976,723.65704,1012.5834,1003.5333,1294.445,903.5775,1014.5824,1076.5011,1019.57996,1076.5011
188.813625,4527,1,782.31494,52.675964,1413.8809,1064.4607,1209.5214,251.13374,1232.5055,234.13736,1201.5269,213.14182,1108.5907,174.15012,1111.5886,175.1499,1074.614,312.12076,1017.6532,293.12482,1040.6375,520.07654,907.72876,504.07993,850.7679,779.0214,848.7693,773.0227,976.68134,667.0452,975.68207,694.0395,1336.4341,782.02075,1325.4417,786.0199,975.68207,1044.9648,1212.5193,1043.9651
188.855333333,4528,1,812.7818,34.36725,1341.3418,1042.4451,1193.9645,214.70227,1211.9495,194.72055,1183.9728,176.737,1076.0626,126.78271,1086.0543,125.78362,1059.0768,288.63464,984.13916,264.6566,1062.0742,519.4235,962.1575,471.46738,1173.9811,607.3431,1016.11255,687.26996,953.1649,665.2901,937.1782,684.2727,1321.858,667.28827,973.1483,992.9903,1073.0651,1003.9802,1080.0593,992.9903
188.897041667,4529,1,761.7484,1.5664673,1375.7145,1073.1362,1177.2255,169.99886,1198.2242,159.00327,1168.226,131.01451,1076.2311,97.028145,1080.2308,97.028145,1035.2333,226.97598,971.2368,210.9824,1139.2275,416.89975,1049.2325,407.90335,1315.2178,451.8857,1235.2223,457.8833,965.2372,553.8448,892.2412,557.84314,992.23566,936.6911,1266.2206,634.81226,993.2356,941.6891,1038.2332,912.70074
188.93875,4530,1,756.93774,5.5633545,1446.0664,1075.8165,1155.9332,151.9612,1176.9067,137.97096,1153.9358,100.99676,1071.0406,63.02326,1075.0355,61.024654,1068.0444,280.87125,976.1606,153.95981,1207.8676,315.84683,1067.0457,219.91379,1334.7073,191.9333,1323.7211,189.9347,850.3197,619.6348,914.23883,542.68854,1038.0823,859.4675,1231.8373,678.5937,951.19214,982.3817,1056.0596,866.46265
188.980458333,4531,1,696.6832,0.0,1404.6552,1079.0,1115.1666,158.5,1126.1663,135.5,1130.166,39.5,1051.1692,38.5,1062.1687,33.5,1062.1687,230.5,976.1721,111.5,1201.1632,225.5,1036.1698,97.5,1290.1597,119.5,1188.1637,55.5,987.1717,539.5,925.1742,542.5,1113.1667,816.5,1163.1648,805.5,872.1763,1075.5,970.17236,1024.5
189.022166667,4532,1,807.45294,4.5030518,1307.3984,1079.0,1127.918,118.94947,1136.917,104.956024,1127.918,89.96304,1030.9286,85.96491,1075.9237,35.98831,1028.9288,197.9125,954.9369,153.93309,1155.9149,196.91296,983.9337,63.97521,1225.9073,84.96538,1081.923,8.001414,1004.9314,524.75946,955.93677,524.75946,1067.9246,868.5985,1072.924,870.5976,987.9333,1075.5016,947.9376,1075.5016
189.063875,4533,1,859.2585,2.5448608,1219.0305,1073.6821,1109.5999,80.98168,1123.591,56.0018,1104.603,49.007435,1026.6525,6.0420437,1031.6493,26.025948,1023.6543,175.90523,943.70496,132.93983,1127.5885,168.91086,1031.6493,6.0420437,1161.5669,80.98168,1033.648,6.0420437,1040.6436,504.64044,988.67645,515.6316,1053.6354,862.3523,1007.6644,857.3563,1006.6651,1070.1849,923.71765,1070.1849
189.105583333,4534,1,863.8667,0.0,1195.2283,1079.0,1077.9542,64.5,1064.9792,47.5,1058.9907,55.5,1054.0004,54.5,1004.0965,42.5,1041.0254,194.5,958.185,151.5,1124.8639,208.5,1018.0696,124.5,1152.81,82.5,1129.8542,54.5,1022.0619,525.5,970.1619,539.5,1052.0043,867.5,994.1157,866.5,1022.0619,1075.5,924.25037,1075.5
189.147291667,4535,1,834.6777,4.5925903,1287.0244,1079.0,1100.7933,275.94296,1144.7299,58.063103,1116.7703,64.0598,986.95776,103.0383,989.9534,102.03885,1020.90875,254.95453,980.96643,176.99751,1134.7444,280.9402,1165.6996,145.01515,1212.6318,200.98428,1181.6765,125.02618,913.06445,562.7848,969.9823,576.77704,1046.8712,887.60565,965.98804,883.60785,1015.91595,1056.5125,892.0947,1075.5021
189.189,4536,1,806.90466,51.722473,1406.1168,1079.0,1125.9851,164.14342,1128.9812,146.15607,1105.0127,159.14693,1011.1361,141.15958,1042.0955,148.15466,1053.0809,292.05347,975.1834,213.10898,1138.968,346.0155,1137.9694,223.10196,1343.6989,258.07736,1352.687,256.07877,980.1768,600.8363,927.24646,601.83563,1046.0902,903.6234,909.2701,910.61847,1012.1348,1075.5026,839.362,1075.5026
189.230708333,4537,1,744.3229,138.79236,1312.2557,1079.0,1160.7737,288.16647,1175.7719,253.19594,1155.7743,255.19426,1047.787,221.22289,1091.7819,232.21362,1018.7904,427.04944,1009.7915,270.18164,1233.765,528.96356,1119.7784,393.07806,1294.7578,568.9299,1260.7618,540.9534,952.7982,676.8389,876.8072,659.8532,1044.7874,910.6419,884.8063,926.6284,1017.7905,1076.5021,807.81537,1076.5021
189.272416667,4538,1,704.95776,209.1326,1241.4916,1079.0,1220.0103,366.6086,1225.0059,347.6115,1212.0172,333.61362,1103.1118,283.62125,1157.065,315.61636,1087.1257,380.60648,1039.1674,357.61,1061.1483,562.57874,1052.1561,565.5783,1032.1735,718.555,1099.1152,701.55756,942.2516,689.5594,865.3184,642.5665,1039.1674,921.52405,850.3314,956.51874,1021.183,1076.5005,750.4183,1076.5005
189.314125,4539,1,650.71545,343.16812,1291.599,1079.0,1200.1156,533.62463,1221.1118,513.62915,1209.114,500.63214,1141.1263,433.64746,1154.124,449.6438,1029.1467,438.6463,1037.1453,444.64493,1020.1483,435.647,982.1552,620.60474,900.1701,525.62646,964.1585,765.5716,931.1645,683.59033,890.17194,660.5956,1048.1432,933.53326,798.18866,976.52344,1017.14886,1076.5006,684.20935,1076.5006
189.355833333,4540,1,574.501,437.25827,1308.0345,1079.0,1218.5914,607.6897,1240.5774,600.6925,1218.5914,572.70374,1203.601,571.70416,1167.6238,496.73434,1121.6531,598.6933,1058.6931,516.72626,1275.5552,598.6933,930.7744,668.6651,980.7427,738.63696,902.79224,795.614,917.7827,755.6301,859.8196,730.6402,1050.6982,930.5597,743.89325,995.53357,1007.7255,1077.5006,620.97144,1077.5006
189.397541667,4541,1,558.8329,458.4302,1189.8312,1079.0,1188.3312,612.8232,1188.3312,595.83496,1188.3312,596.8343,1157.3313,568.85364,1168.3313,557.86127,1131.3313,634.8079,1045.3315,569.85297,929.3319,703.76013,909.332,714.7525,1005.33167,722.747,878.33203,812.68463,899.332,776.7096,840.33215,736.7373,1043.3315,926.60565,715.33246,981.56757,1012.33167,1077.5011,592.3328,1077.5011
189.43925,4542,1,574.1283,514.3146,1177.2583,1079.0,1175.7605,651.73804,1175.7605,636.7464,1175.7605,634.7475,1151.795,636.7464,1147.8008,624.75305,1111.8527,666.7297,1035.9622,604.76416,1145.8037,699.7113,901.15656,745.68567,1005.0068,738.6896,851.2286,846.62946,882.18396,788.66174,821.2718,766.674,1032.9664,920.58826,695.4533,988.5504,998.01685,1077.5009,575.62616,1077.5009
189.480958333,4543,1,545.2925,505.04077,1111.8815,1078.5604,986.4724,761.3261,990.46954,758.3286,988.471,755.3311,990.46954,753.3328,1040.4332,700.3772,1110.3826,668.40393,1018.4492,614.44916,1072.41,565.4901,890.54205,751.3345,1038.4347,733.34955,841.5775,853.24915,877.55145,795.29767,804.6044,791.301,1022.44635,912.19977,686.6899,987.13696,997.4645,1077.0616,568.77545,1077.0616
189.522666667,4544,1,508.41064,499.7237,1162.9165,1074.9065,1146.429,663.9903,1105.4598,621.05133,1142.432,652.0073,1102.4622,615.0598,1103.4614,612.0641,1046.5044,654.0045,1008.5331,610.0669,1012.53,535.17334,882.6281,752.864,1001.5383,734.8896,825.67114,868.69946,882.6281,788.813,812.6809,743.87683,1012.53,899.65546,682.779,976.5462,986.5497,1064.4214,543.88385,1073.4086
189.564375,4545,1,493.95728,513.39307,1135.4297,1079.0,1097.9606,640.8045,1103.9556,636.8073,1078.9761,583.8441,1102.9564,610.8254,1077.9769,571.8524,1042.0066,664.78784,989.0501,587.8413,950.08215,564.8573,925.10266,653.7955,1040.0082,718.75037,873.1454,725.7455,885.13556,785.70386,828.1824,717.75104,1009.0336,884.6351,680.304,958.5837,974.06244,1065.5094,551.41003,1049.5205
189.606083333,4546,1,486.2895,447.24796,1119.4883,1076.4742,1049.0774,511.66873,1065.0571,513.66626,1061.0623,505.67612,1060.0635,528.6479,1056.0685,523.654,1019.1153,617.5386,963.18604,572.5938,954.19745,704.4317,867.3074,703.4329,1064.0585,662.4833,837.3453,793.32245,873.2998,768.35315,813.3756,738.38995,1007.13043,864.2352,669.5576,953.1259,961.1886,1059.9945,516.7509,1074.9761
